keyword,syn_1,syn_2,syn_3,syn_4,syn_5,syn_6,syn_7,
abdominal pain,abd pain,,,,,,,
abrasion,scrape,,,,,,,
allergy,allergic,runny,sneeze,histamine,allergies,,,
anaphylaxis,epinephrine,,,,,,,
blister,hot spot,,,,,,,
bm,bowel,lax,movement,constipat,,,,
bruise,contusion,,,,,,,
bug bite,mosquito,bite,papule,fly,bug,bites,,
congestion,nasal,stuffy,congested,sinus,,,,
cut,laceration,slice,scratch,,,,,
diarrhea,dirrhea,/d,loose BM,watery,loose stool,,,
fatigue,malaise,body aches,tired,achey,feeling poorly,,,
fever,chills,chilled,,,,,,
headache,migraine,ha,,,,,,
hives,wheels,,,,,,,
homesick,missing home,,,,,,,
itch,irritation,scratching,,,,,,
menstrual ,menses,vaginal,,,,,,
mono,mononucleosis,,,,,,,
nausea,nauseous,queasy,nauseaus,n/,/n,nauseated,,
respiratory,wheeze,shortness,sob,breathing,breath,URI,LRI,wheezing
sore throat,strep,swallow,ST ,Sore Throat,st/,/st,,
splinter,,,,,,,,
sting,yellow jacket,bee,wasp,stung,,,,
stomach ache,belly,upset,epigastric,SA,tummy,cramp,active bowel sounds,
sun burn,sunburn,sunburned,sun burned,,,,,
tick,,,,,,,,
rolled ankle,rolled,sprained,twisted,ankle,twisting,rolling,,
vomiting,throw up,emesis,vomit,v/,/v,throwing up,threw up,
wound,echymotic,bleeding,blood,,,,,
poison ivy,PI,,,,,,,
swelling,swollen,edema,,,,,,
rash,dermatitis,,,,,,,
cough,,,,,,,,
asthma,inhaler,puffs,albuterol,,,,,
fracture,,,,,,,,
burn,hot rock,,,,,,,
cold,,,,,,,,
nosebleed,nose bleed,epitaxis,,,,,,
toe,paronychia,,,,,,,
bike,biking,,,,,,,
predator,,,,,,,,
capture,,,,,,,,
hike,,,,,,,,
hit,,,,,,,,
campout,camp out,camping,campsite,camp site,,,,
anxiety,worry,panic,worried,anxious,nervous,,,
 lice,nit,,,,,,,
grass,,,,,,,,
eye,,,,,,,,
sleep,not slept,sleeping,,,,,,
